Level,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
0,"testhost.exe",0,100.00,0.00,0.00,0.00,"",
1,"0x0600000C",1,99.90,0.00,184.63,0.00,"0x00000000",
2,"0x06000008",1,99.77,79.35,184.39,146.64,"0x00000000",
3,"0x0A000011","812,881",20.43,20.43,0.00,0.00,"0x00000000",
3,"0x0A000010",1,0.00,0.00,0.00,0.00,"0x00000000",
2,"0x0A000014",1,0.09,0.09,0.16,0.16,"0x00000000",
2,"0x0A000013",1,0.02,0.02,0.05,0.05,"0x00000000",
2,"0x0A000012",1,0.01,0.01,0.02,0.02,"0x00000000",
2,"0x0A000011",2,0.00,0.00,0.00,0.00,"0x00000000",
2,"0x0A000010",1,0.00,0.00,0.00,0.00,"0x00000000",
1,"0x0600000A",1,0.10,0.09,0.18,0.17,"0x00000000",
2,"0x06000009",1,0.00,0.00,0.01,0.01,"0x00000000",
3,"0x0A00000E",1,0.00,0.00,0.00,0.00,"0x00000000",
2,"0x0A00000E",1,0.00,0.00,0.00,0.00,"0x00000000",
