Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"0x0A00000F",1,99.39,99.39,110.04,110.04,"0x00000000",
"0x0600000A",1,0.19,0.18,0.21,0.20,"0x00000000",
"0x0A000014",1,0.18,0.18,0.20,0.20,"0x00000000",
"0x06000007",1,99.49,0.10,110.15,0.11,"0x00000000",
"0x0A000013",1,0.08,0.08,0.09,0.09,"0x00000000",
"0x0A000012",1,0.04,0.04,0.04,0.04,"0x00000000",
"0x0A000011",2,0.02,0.02,0.01,0.01,"0x00000000",
"0x0A000010",1,0.01,0.01,0.01,0.01,"0x00000000",
"0x06000009",1,0.01,0.01,0.01,0.01,"0x00000000",
"0x0A00000E",2,0.00,0.00,0.00,0.00,"0x00000000",
"0x0600000B",1,99.81,0.00,110.50,0.00,"0x00000000",
